market,commodity,unit,record_count,mean_price,minimum_price,maximum_price
Rwamwanja (refugee settlement),Salt,KG,60,1599.5571666666665,1000.0,2467.0
Oruchinga (refugee settlement),Milk (fresh),L,61,1591.8852459016393,1000.0,2002.0
Adjumani (refugee settlement),Serving spoon,Unit,21,1583.5895238095236,1000.0,2114.0
Palorinya (refugee settlement),Sorghum,KG,67,1574.1940298507463,891.0,2833.0
Napak,Maize (white),KG,39,1562.4871794871794,1040.0,3040.0
Lira,Cassava flour,KG,275,1550.3121090909092,276.92,3625.0
Palabek (refugee settlement),Rope,Unit,17,1545.4705882352941,667.0,4000.0
Kasese,Maize (white),KG,27,1545.2592592592594,1000.0,2200.0
Kapchorwa,Cassava flour,KG,139,1544.6786330935251,724.0,2500.0
Bidibidi (refugee settlement),Maize (white),KG,56,1541.0892857142858,900.0,2338.0
Lobule (refugee settlement),Rope,Unit,19,1537.3157894736842,750.0,3000.0
Lobule (refugee settlement),Maize (white),KG,67,1531.0597014925372,730.0,2500.0
Kasese,Cassava flour,KG,50,1524.66,700.0,2740.0
Palabek (refugee settlement),Maize (white),KG,65,1522.918923076923,960.0,2500.0
Adjumani (refugee settlement),Sorghum,KG,63,1506.26,1000.0,2500.0
Mbarara,Maize (white),KG,164,1489.364512195122,400.0,2625.0
Lobule (refugee settlement),Wooden mingle,Unit,24,1487.1666666666667,500.0,3000.0
Moroto,Maize (white),KG,47,1482.659574468085,1000.0,2800.0
Kyaka II (refugee settlement),Salt,KG,67,1478.8507462686566,999.0,2000.0
Nakivale (refugee settlement),Leafy vegetables,KG,63,1477.984126984127,500.0,3333.0
Palorinya (refugee settlement),Maize (white),KG,67,1476.358208955224,775.0,2825.0
Jinja,Sorghum,KG,97,1474.1546391752577,400.0,2440.0
Hoima,Maize (white),KG,23,1464.3478260869565,750.0,2625.0
Kyaka II (refugee settlement),Leafy vegetables,KG,62,1459.4516129032259,714.0,2564.0
Bidibidi (refugee settlement),Sorghum,KG,67,1456.44776119403,967.0,2266.0
Kyaka II (refugee settlement),Milk (fresh),L,63,1453.169365079365,1035.0,4000.0
Soroti,Cassava flour,KG,27,1437.9366666666667,983.0,2114.29
Masaka,Cassava flour,KG,16,1432.25,1220.0,1725.0
